Year,Indicator,Value
2021,Production_liters,8099591.0
2021,Bottling_national,3684458.0
2021,Bottling_export,5102520.0
2021,Registered_properties,11531.0
2021,Registered_associates,3960.0
2021,Surface_registered_ha,81851.0
2021,Plants_registered,64724341.0
2022,Production_liters,14165505.0
2022,Bottling_national,8786978.0
2022,Bottling_export,8786978.0
2022,Registered_properties,29824.0
2022,Registered_associates,5659.0
2022,Surface_registered_ha,65636.19
2022,Plants_registered,29824414.0
2022,Direct_employment,23000.0
2022,Indirect_employment,105000.0
2022,Category_value_million_pesos,8803.0
2023,Production_liters,12239655.0
2023,Bottling_national,5327864.0
2023,Bottling_export,6911800.0
2023,Registered_properties,30451.0
2023,Registered_associates,5700.0
2023,Surface_registered_ha,70708.0
2023,Plants_registered,30216849.0
2023,Direct_employment,23000.0
2023,Indirect_employment,105000.0
2023,Category_value_million_pesos,9033.0
2024,Production_liters,11362436.0
2024,Bottling_national,3793310.0
2024,Bottling_export,7574530.0
2024,Registered_properties,31411.0
2024,Registered_associates,5800.0
2024,Surface_registered_ha,75764.0
2024,Plants_registered,30997329.0
2024,Direct_employment,23000.0
2024,Indirect_employment,105000.0
2024,Category_value_million_pesos,9365.0
